Date,Year,Month,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
08/11/15,2015,8,Total Wine,TOTAL WINE AND MORE 610 DURHAM,15.04,debit,Alcohol & Bars,Schwab,,
08/11/15,2015,8,Trader Joe's,TRADER JOE'S #741 QPS CARY NC,30.84,debit,Groceries,COLLEGE CARD,,
08/11/15,2015,8,Kroger,KROGER #342 CARY NC,33.47,debit,Groceries,COLLEGE CARD,,
08/11/15,2015,8,Home Depot,THE HOME DEPOT 3620 DURHAM NC,9.28,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
08/11/15,2015,8,Walgreens,WALGREENS #11547 CHAPEL HILL NC,6.43,debit,Pharmacy,Fidelity Investments Investment Rewards Signature Visa,,
08/11/15,2015,8,Pay By Phone,PAY BY PHONE PAYMENT,11993.37,credit,Credit Card Payment,Fidelity Investments Investment Rewards Signature Visa,,
08/11/15,2015,8,Amazon Video,Amazon Video On Demand 866-216-1072 WA,3.21,debit,Movies & DVDs,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,South Carolina Electric Gas Company,SCE&G/PSNC DRAFT 150807~ Tran: ACHDW,19.01,debit,Utilities,Schwab,,
08/10/15,2015,8,Sweet Tomatoes,SWEET TOMATOES 85 Q14 CARY NC,30.34,debit,Groceries,COLLEGE CARD,,
08/10/15,2015,8,Wells Fargo Rewards,WELLS FARGO REWARDS,25,credit,Income,Wells Fargo Checking Acct,,
08/10/15,2015,8,Tc Eastgate,TC - EASTGATE CHAPEL HILL NC,21.49,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,Caffe Driade,CAFFE DRIADE CHAPEL HILL NC,14.5,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,Walgreens,WALGREENS #11547 CHAPEL HILL NC,8.9,debit,Pharmacy,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,Rite Aid,RITE AID STORE - 11365 CHAPEL HILL NC,23.61,debit,Pharmacy,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,Open Eye Cafe,OPEN EYE CAFE CARRBORO NC,12.75,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,Trader Joe's,TRADER JOE'S #745 QPS CHAPEL HILL NC,39.58,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,Amazon,Amazon.com AMZN.COM/BILLWA,67.71,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,A Southern Season,A SOUTHERN SEASON CHAPEL HILL NC,21.49,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,Harris Teeter,HARRIS TEETER #0117 CHAPEL HILL NC,21.91,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,Walgreens,WALGREENS #11547 CHAPEL HILL NC,24.57,debit,Pharmacy,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,Kitchenworks,KITCHENWORKS CHAPEL HILL NC,26.77,debit,Furnishings,Fidelity Investments Investment Rewards Signature Visa,,
08/10/15,2015,8,The Loop Pizza Grill,THE LOOP PIZZA GRILL CHAPCHAPEL HILL NC,23.81,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/09/15,2015,8,Caribou Coffee,CARIBOU COFFEE CO # 306 CARY NC,7.2,debit,Coffee Shops,COLLEGE CARD,,
08/09/15,2015,8,Hugo's,HAN-DEE HUGOS 41 CARY NC,25.06,debit,Gas & Fuel,COLLEGE CARD,,
08/09/15,2015,8,Noodles & Company,NOODLES & CO 856 CARY NC,11.83,debit,Restaurants,COLLEGE CARD,,
08/09/15,2015,8,Starbucks,STARBUCKS #13922 CARY Cary NC,10.4,debit,Coffee Shops,COLLEGE CARD,,
08/08/15,2015,8,Noodles & Company,NOODLES & CO 856 CARY NC,20.62,debit,Restaurants,COLLEGE CARD,,
08/08/15,2015,8,IHOP,IHOP 3307 CARY NC,27.59,debit,Restaurants,COLLEGE CARD,,
08/08/15,2015,8,Boston Market,BOSTON MARKET 0480 CARY NC,8.07,debit,Restaurants,COLLEGE CARD,,
08/08/15,2015,8,Caribou Coffee,CARIBOU COFFEE CO # 306 CARY NC,6.98,debit,Coffee Shops,COLLEGE CARD,,
08/08/15,2015,8,Jasons Deli,JASON'SDELI-CNC#162Q64 CARY NC,22.57,debit,Fast Food,COLLEGE CARD,,
08/08/15,2015,8,The Loop Pizza Grill,THE LOOP PIZZA GRILL CHAPCHAPEL HILL NC,2.14,debit,Restaurants,COLLEGE CARD,,
08/08/15,2015,8,Weaver Street Market,WEAVER STREET MARKET - HILLSBOROUGH NC,24.66,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/08/15,2015,8,Ch Dwntwn Prkg,CH DWNTWN PRKG MOBILE PA www.parkmobilNC,1.6,debit,Service & Parts,Fidelity Investments Investment Rewards Signature Visa,,
08/07/15,2015,8,Open Eye Cafe,OPEN EYE CAFE CARRBORO NC,11.5,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/07/15,2015,8,Syd's Hair Shop Inc,SYD'S HAIR SHOP INC CHAPEL HILL NC,30,debit,Personal Care,Fidelity Investments Investment Rewards Signature Visa,,
08/07/15,2015,8,Patrick Janes Gourmet,PATRICK JANES GOURMET CARY NC,47.87,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/07/15,2015,8,Harris Teeter,"HARRIS TEETER #011CHAPEL HILL, NC #00000",5.28,debit,Groceries,Schwab,,
08/07/15,2015,8,Check 1542,CHECK # 1542,90,debit,Check,Wells Fargo Checking Acct,,
08/07/15,2015,8,ATM Withdrawal,ATM WITHDRAWAL AUTHORIZED ON 08/07 129 S ESTES CHAPEL HILL NC 0008575 ATM ID 6565J CARD 1015,300,debit,Cash & ATM,Wells Fargo Checking Acct,,
08/06/15,2015,8,Rite Aid,RITE AID STORE - 11365 CHAPEL HILL NC,23.61,debit,Pharmacy,Fidelity Investments Investment Rewards Signature Visa,,
08/06/15,2015,8,Harris Teeter,HARRIS TEETER #0117 CHAPEL HILL NC,16.11,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
08/06/15,2015,8,Home Depot,THE HOME DEPOT 3620 DURHAM NC,21.39,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
08/06/15,2015,8,Trader Joe's,TRADER JOE'S #741 QPS CARY NC,39.67,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
08/06/15,2015,8,Starbucks,STARBUCKS #10967 CARY Cary NC,6.68,debit,Coffee Shops,COLLEGE CARD,,
08/06/15,2015,8,Skype,ADY*Skype 425-8828080 NV,10,debit,Home Phone,COLLEGE CARD,,
08/06/15,2015,8,Lowe's,LOWES #00426* CARY NC,22.35,debit,Home Improvement,COLLEGE CARD,,
08/05/15,2015,8,Interest Charged Purchases,INTEREST CHARGED ON PURCHASES,71.19,debit,Bank Fee,Fidelity Investments Investment Rewards Signature Visa,,
08/05/15,2015,8,Summerwind Pools & Spas,SUMMERWIND POOLS & SPA CARRBORO NC,23.44,debit,Pool,Fidelity Investments Investment Rewards Signature Visa,,
08/05/15,2015,8,Open Eye Cafe,OPEN EYE CAFE CARRBORO NC,10,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/05/15,2015,8,Five Guys,FIVE GUYS #NC-1276 DURHAM NC,10.51,debit,Fast Food,Fidelity Investments Investment Rewards Signature Visa,,
08/05/15,2015,8,Check 995538,Check Paid #995538,75,debit,Check,Schwab,,
08/05/15,2015,8,Check 1062,Check Paid #1062,652.74,debit,Check,Schwab,,
08/05/15,2015,8,Cashdisb Tax Paymen,CASHDISB TAX PAYMEN ~ Tran: ACHDW,1977,debit,Taxes,Schwab,,
08/05/15,2015,8,Check 995537,Check Paid #995537,111.23,debit,Check,Schwab,,
08/05/15,2015,8,Blues Nc Ind,BLUES OF NC IND DRAFT 150802~ Tran: ACHD,1471.7,debit,Health Insurance,Schwab,,
08/05/15,2015,8,Caribou Coffee,CARIBOU COFFEE CO # 306 CARY NC,4.19,debit,Coffee Shops,COLLEGE CARD,,
08/04/15,2015,8,Lowe's,LOWES #02778* DURHAM NC,26.7,credit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
08/04/15,2015,8,Trader Joe's,TRADER JOE'S #745 QPS CHAPEL HILL NC,31.22,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
08/04/15,2015,8,Weaver Street Market,WEAVER STREET MARKET - HILLSBOROUGH NC,33.04,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/04/15,2015,8,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,103.97,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
08/04/15,2015,8,Pioneer Telephone,8008089000 PIONEERTELEPHO888-4926878 ME,5.71,debit,Home Phone,Fidelity Investments Investment Rewards Signature Visa,,
08/04/15,2015,8,Sam Barbeque,SAM'S BARBEQUE CHAPEL HILL NC,16.88,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/04/15,2015,8,Town Country Cleanin,TOWN & COUNTRY CLEANIN PITTSBORO NC,495,debit,Housecleaning,Fidelity Investments Investment Rewards Signature Visa,,
08/04/15,2015,8,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,1.06,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
08/04/15,2015,8,Caribou Coffee,CARIBOU COFFEE CO # 306 CARY NC,7.74,debit,Coffee Shops,COLLEGE CARD,,
08/04/15,2015,8,Home Depot,THE HOME DEPOT 3615 CARY NC,20.17,debit,Home Improvement,COLLEGE CARD,,
08/03/15,2015,8,Lowe's,LOWES #00487* CHAPEL HILL NC,12.52,credit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
08/03/15,2015,8,Open Eye Cafe,OPEN EYE CAFE CARRBORO NC,10.25,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/03/15,2015,8,Whole Foods,WHOLEFDS CHP 10008 CHAPEL HILL NC,12.07,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
08/03/15,2015,8,Late Payment Fee,LATE FEE FOR PAYMENT DUE,35,debit,Bank Fee,Fidelity Investments Investment Rewards Signature Visa,,
08/03/15,2015,8,NY Times,NY TIMES NATL SALES 800-698-4637 NY,76.54,debit,Reading,Fidelity Investments Investment Rewards Signature Visa,,
08/03/15,2015,8,Lowe's,LOWES #00487* CHAPEL HILL NC,56.85,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
08/03/15,2015,8,Lowe's,LOWES #02778* 919-206-4800 NC,26.7,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
08/03/15,2015,8,Kroger,KROGER #342 CARY NC,20.56,debit,Groceries,COLLEGE CARD,,
08/02/15,2015,8,Cost Plus World Market,COST PLUS WLD #127 CARY NC,6.39,debit,Furnishings,COLLEGE CARD,,
08/02/15,2015,8,Trader Joe's,TRADER JOE'S #741 QPS CARY NC,14.44,debit,Groceries,COLLEGE CARD,,
08/02/15,2015,8,Target,TARGET 00009613 CARY NC,33.89,debit,Shopping,COLLEGE CARD,,
08/02/15,2015,8,Caribou Coffee,CARIBOU COFFEE CO # 306 CARY NC,3.54,debit,Coffee Shops,COLLEGE CARD,,
08/01/15,2015,8,Harris Teeter,HARRIS TEETER #0172 DURHAM NC,44.01,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
08/01/15,2015,8,Weaver Street Market,WEAVER STREET MARKET - HILLSBOROUGH NC,68.64,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
08/01/15,2015,8,Lowe's,LOWES #00487* CHAPEL HILL NC,76.07,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
08/01/15,2015,8,Walgreens,WALGREENS #11547 CHAPEL HILL NC,24.57,debit,Pharmacy,Fidelity Investments Investment Rewards Signature Visa,,
08/01/15,2015,8,Exxon,EXXONMOBIL 42171967 CARY NC,24.69,debit,Service & Parts,COLLEGE CARD,,
07/31/15,2015,7,Netflix,NETFLIX.COM NETFLIX.COM CA,8.59,debit,Movies & DVDs,Fidelity Investments Investment Rewards Signature Visa,,
07/31/15,2015,7,Time Warner,TWC*TIME WARNER CABLE 910-763-4638 NC,141.56,debit,CableTV/Internet,Fidelity Investments Investment Rewards Signature Visa,,
07/31/15,2015,7,CVS,CVS/PHARMACY #03833 CARRBORO NC,20.95,debit,Pharmacy,Fidelity Investments Investment Rewards Signature Visa,,
07/31/15,2015,7,Open Eye Cafe,OPEN EYE CAFE CARRBORO NC,12.75,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
07/31/15,2015,7,Interest Paid,Interest Paid,0.92,credit,Interest Income,Schwab,,
07/30/15,2015,7,Weaver Street Market,WEAVER STREET MARKET - HILLSBOROUGH NC,58.3,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
07/30/15,2015,7,Food Lion,FOOD LION #1349 SANFORD NC,2.29,debit,Groceries,COLLEGE CARD,,
07/30/15,2015,7,Microsoft,MSFT *OFFICE 800-642-7676 WA,15.02,debit,Electronics & Software,COLLEGE CARD,,
07/30/15,2015,7,Marathon,MARATHON PETRO131680D MARCHAPEL HILL NC,6.8,debit,Gas & Fuel,BankAmericard Cash Rewards Signature Visa,,
07/30/15,2015,7,Marathon,MARATHON PETRO131680D MARCHAPEL HILL NC,23.72,debit,Gas & Fuel,BankAmericard Cash Rewards Signature Visa,,
07/29/15,2015,7,Open Eye Cafe,OPEN EYE CAFE CARRBORO NC,14,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
07/29/15,2015,7,Amazon Video,Amazon Video On Demand 866-216-1072 WA,3.21,debit,Movies & DVDs,Fidelity Investments Investment Rewards Signature Visa,,
07/29/15,2015,7,Ultimate Comics,ULTIMATE COMICS CHAPEL HILL NC,61.67,debit,Books,COLLEGE CARD,,
07/29/15,2015,7,Payment,PAYMENT,56.95,credit,Credit Card Payment,BankAmericard Cash Rewards Signature Visa,,
07/29/15,2015,7,Amazon,ON DEMAND 638633 Misc. Paym 150721 64124544D Amazon.com Payments ID#25968036,2.82,credit,Shopping,JDC Planning,,
07/29/15,2015,7,Bank America Online,BANK OF AMERICA ONLINE PMT 150729,56.95,debit,Credit Card Payment,Schwab,,
07/28/15,2015,7,Sam Barbeque,SAM'S BARBEQUE CHAPEL HILL NC,47.78,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
07/28/15,2015,7,Neste,NEST LABS 855-469-6378 CA,9.95,debit,Gas & Fuel,Fidelity Investments Investment Rewards Signature Visa,,
07/28/15,2015,7,N O Circulation,N&O CIRCULATION 800-522-4205 NC,380.12,debit,Newspapers & Magazines,Fidelity Investments Investment Rewards Signature Visa,,
07/28/15,2015,7,Krystal,KRYSTAL KLEAN ELIZABETHTOWNKY,8,debit,Fast Food,Fidelity Investments Investment Rewards Signature Visa,,
07/28/15,2015,7,Gypsy's Shiny Diner,GYPSYS SHINY DINER RALEIGH NC,32.84,debit,Restaurants,COLLEGE CARD,,
07/28/15,2015,7,Walgreens,WALGREENS #11547 CHAPEL HILL NC,11.79,debit,Pharmacy,BankAmericard Cash Rewards Signature Visa,,
07/28/15,2015,7,Cedar Vill Fam,CEDAR VILL FAM FARE CHAPEL HILL NC,11.4,debit,Gas & Fuel,BankAmericard Cash Rewards Signature Visa,,
07/28/15,2015,7,Rite Aid,RITE AID STORE #11365 CHAPEL HILL NC,17.16,debit,Pharmacy,BankAmericard Cash Rewards Signature Visa,,
07/28/15,2015,7,Picket Fence,PICKET FENCE REA ONLINE PMT 150728~ Tran,412.5,debit,Ali Rent,Schwab,,
07/28/15,2015,7,Transfer from Wells Fargo Checking Acct,ONLINE PAYMENT,942.66,credit,Credit Card Payment,COLLEGE CARD,,
07/28/15,2015,7,Transfer to COLLEGE CARD,ONLINE TRANSFER REF #IBEN5WLN2D TO COLLEGE CARD XXXXXXXXXXXX1333 ON 07/28/15,942.66,debit,Credit Card Payment,Wells Fargo Checking Acct,,
07/27/15,2015,7,Spotify,ADY*Spotify USA 646-8375380 NY,10.74,debit,Music,Fidelity Investments Investment Rewards Signature Visa,,
07/27/15,2015,7,Papa John's,PAPA JOHN'S #00887.COM 317-826-9595 NC,31.19,debit,Fast Food,BankAmericard Cash Rewards Signature Visa,,
07/27/15,2015,7,Walgreens,WALGREENS #11547 CHAPEL HILL NC,1.06,debit,Pharmacy,BankAmericard Cash Rewards Signature Visa,,
07/27/15,2015,7,Marathon,MARATHON PETRO131680D MARCHAPEL HILL NC,6.8,debit,Gas & Fuel,BankAmericard Cash Rewards Signature Visa,,
07/27/15,2015,7,Target,TARGET 00027219 MORRISVILLE NC,31.65,debit,Shopping,COLLEGE CARD,,
07/27/15,2015,7,Sq Hub Coffee,"SQ *THE HUB COFFEEDanville, KY #00000019",6.82,debit,Coffee Shops,Schwab,,
07/27/15,2015,7,Orange Water & Sewer Dept,ORANGE WATER&SEW ONLINE PMT 150727,362.32,debit,Bills & Utilities,Schwab,,
07/26/15,2015,7,Lowe's,LOWE'S #1622 DANVILLE,4.21,debit,Home Improvement,Schwab,,
07/25/15,2015,7,Advance Auto Parts,ADVANCE AUTO PARTS #8459 CHAPEL HILL NC,32.24,debit,Service & Parts,Fidelity Investments Investment Rewards Signature Visa,,
07/25/15,2015,7,White Duck Taco Shop,WHITE DUCK TACO SHOP ASHEVILLE NC,24.77,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
07/25/15,2015,7,Guestboxuser Com Ma,GUESTBOXUSER.COM 617-855-9332 MA,13.95,debit,Uncategorized,Fidelity Investments Investment Rewards Signature Visa,,
07/25/15,2015,7,Whole Foods,WHOLEFDS CHP 10008 CHAPEL HILL NC,10.19,debit,Groceries,BankAmericard Cash Rewards Signature Visa,,
07/25/15,2015,7,Wal-Mart,WM SUPERCENTER # Wal-Ma DANVILLE,6.88,debit,Shopping,Schwab,,
07/25/15,2015,7,White Castle,WHITE CASTLE 060027 ELIZABETHTOWN,5.11,debit,Fast Food,Schwab,,
07/24/15,2015,7,Home Paramount,HOME PARAMOUNT-100 FOREST HILL MD,106,debit,Exterminator,Fidelity Investments Investment Rewards Signature Visa,,
07/24/15,2015,7,Advance Auto Parts,ADVANCE AUTO PARTS #8459 CHAPEL HILL NC,23.63,debit,Service & Parts,Fidelity Investments Investment Rewards Signature Visa,,
07/24/15,2015,7,Open Eye Cafe,OPEN EYE CAFE CARRBORO NC,12.75,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
07/24/15,2015,7,Walgreens,WALGREENS #11547 CHAPEL HILL NC,24.57,debit,Pharmacy,Fidelity Investments Investment Rewards Signature Visa,,
07/24/15,2015,7,Trader Joe's,TRADER JOE'S #745 QPS CHAPEL HILL NC,49.95,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
07/24/15,2015,7,Sq Cognitive Psychiatry,SQ *COGNITIVE PSYCHIATRY Chapel Hill NC,165,debit,Doctor,Fidelity Investments Investment Rewards Signature Visa,,
07/24/15,2015,7,Rite Aid,RITE AID STORE #11365 CHAPEL HILL NC,8.58,debit,Pharmacy,BankAmericard Cash Rewards Signature Visa,,
07/24/15,2015,7,Nc Owasa Util,NC-OWASA UTIL BILLS 201507,362.32,debit,Water,Schwab,,
07/24/15,2015,7,"Health Equity, Inc.",HEALTHEQUITY INC HealthEqui 23 Jul,2000,debit,Gifts & Donations,Schwab,,
07/24/15,2015,7,ATM Fee,NON-WF ATM WITHDRAWAL AUTHORIZED ON 07/24 2303 AndersonviFastop 21 Clinton TN 00465205716552229 ATM ID TR021486 CARD 2169,3,debit,ATM Fee,Wells Fargo Checking Acct,,
07/24/15,2015,7,Non Wf ATM,NON-WF ATM WITHDRAWAL AUTHORIZED ON 07/24 2303 AndersonviFastop 21 Clinton TN 00465205716552229 ATM ID TR021486 CARD 2169,100,debit,Cash & ATM,Wells Fargo Checking Acct,,
07/23/15,2015,7,Patrick Janes Gourmet,PATRICK JANES GOURMET CARY NC,35.17,debit,Restaurants,COLLEGE CARD,,
07/23/15,2015,7,Harris Teeter,HARRIS TEETER #0117 CHAPEL HILL NC,32.75,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
07/23/15,2015,7,Cole Haan,COLE HAAN-DURHAM DURHAM NC,13.44,debit,Clothing,Fidelity Investments Investment Rewards Signature Visa,,
07/23/15,2015,7,Tc Eastgate,TC - EASTGATE CHAPEL HILL NC,20.41,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
07/23/15,2015,7,PetSmart,PETSMART INC 595 CARY NC,75.76,debit,Pet Food & Supplies,Fidelity Investments Investment Rewards Signature Visa,,
07/22/15,2015,7,Caribou Coffee,CARIBOU COFFEE CO # 306 CARY NC,5.92,debit,Coffee Shops,COLLEGE CARD,,
07/22/15,2015,7,Shell,SHELL OIL 53212320088 CARY NC,21.95,debit,Gas & Fuel,COLLEGE CARD,,
07/22/15,2015,7,Lowe's,LOWES #00487* CHAPEL HILL NC,46.17,debit,Home Improvement,Fidelity Investments Investment Rewards Signature Visa,,
07/22/15,2015,7,Open Eye Cafe,OPEN EYE CAFE CARRBORO NC,13.75,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
07/22/15,2015,7,Sirius Radio,SXM*SIRIUSXM.COM/ACCT 888-635-5144 NY,13.45,debit,Music,Fidelity Investments Investment Rewards Signature Visa,,
07/22/15,2015,7,Walgreens,WALGREENS #11547 CHAPEL HILL NC,10.73,debit,Pharmacy,Fidelity Investments Investment Rewards Signature Visa,,
07/22/15,2015,7,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,9.25,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
07/22/15,2015,7,Harrys,HARRY'S 888-212-6855 8882126855 NY,15,debit,Utilities,Fidelity Investments Investment Rewards Signature Visa,,
07/22/15,2015,7,Jason Sdeli Cnc,JASON'SDELI-CNC#162Q64,8.99,debit,Food & Dining,Chase VISA,,
07/22/15,2015,7,Duke Energy,DUKE ENERGY UTIL. BILL,282.94,debit,ELECTRIC,Schwab,,
07/21/15,2015,7,Transcripts,COLLEGE TRANSCRIPT 703-742-4200 VA,15.25,debit,Business Services,COLLEGE CARD,,
07/21/15,2015,7,IHOP,IHOP 3307 CARY NC,26.93,debit,Restaurants,COLLEGE CARD,,
07/21/15,2015,7,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,5.58,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
07/21/15,2015,7,Harris Teeter,HARRIS TEETER #0117 CHAPEL HILL NC,25.32,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
07/21/15,2015,7,Netflix,NETFLIX.COM,8.59,debit,Movies & DVDs,Chase VISA,,
07/21/15,2015,7,AT&T,AT&T ONLINE PMT 150721,44.81,debit,Home Phone,Schwab,,
07/21/15,2015,7,Christies,CHRISTIE SOBCZAK ONLINE PMT 150721~ Tran,280,debit,Doctor,Schwab,,
07/20/15,2015,7,Caffe Driade,CAFFE DRIADE CHAPEL HILL NC,100,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
07/20/15,2015,7,Open Eye Cafe,OPEN EYE CAFE CARRBORO NC,12.25,debit,Restaurants,Fidelity Investments Investment Rewards Signature Visa,,
07/20/15,2015,7,Whole Foods,WHOLEFDS CHP 10008 CHAPEL HILL NC,17.26,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
07/20/15,2015,7,Harris Teeter,HARRIS TEETER #0117 CHAPEL HILL NC,85.51,debit,Groceries,Fidelity Investments Investment Rewards Signature Visa,,
07/20/15,2015,7,Amazon Video,Amazon Video On Demand 866-216-1072 WA,3.21,debit,Movies & DVDs,Fidelity Investments Investment Rewards Signature Visa,,
07/20/15,2015,7,Amazon,Amazon.com AMZN.COM/BILLWA,8.6,debit,Shopping,Fidelity Investments Investment Rewards Signature Visa,,
07/20/15,2015,7,Summerwind Pools & Spas,SUMMERWIND POOLS & SPA CARRBORO NC,25.86,debit,Pool,Fidelity Investments Investment Rewards Signature Visa,,
07/20/15,2015,7,Crooks Corner,CROOKS CORNER 0000  CHAPEL HILL18800027    919-929-7643 320152010568863201,35.6,debit,Restaurants,Costco AmEx,,
07/20/15,2015,7,Mimi's Cafe,MIMIS CAFE 118 CARY NC,16.91,debit,Restaurants,COLLEGE CARD,,
07/20/15,2015,7,Progressengycaro Drafts,PROGRESSENGYCARO DRAFTS 150720,39.23,debit,Utilities,Schwab,,
07/20/15,2015,7,State Farm Bank Online,STATE FARM RO 27 SFPP,292.33,debit,Auto Payment,Schwab,,
